latitud,longitud,code,id,state_id,name
15.435011,-92.115158,7006,42000000-0000-0000-0000-000000000090,40000000-0000-0000-0000-000000000007,Amatenango de la Frontera
16.528501,-92.435491,7007,42000000-0000-0000-0000-000000000091,40000000-0000-0000-0000-000000000007,Amatenango del Valle
15.872644,-92.72508,7008,42000000-0000-0000-0000-000000000092,40000000-0000-0000-0000-000000000007,Angel Albino Corzo
16.236065,-93.899473,7009,42000000-0000-0000-0000-000000000093,40000000-0000-0000-0000-000000000007,Arriaga
15.455393,-92.158407,7010,42000000-0000-0000-0000-000000000094,40000000-0000-0000-0000-000000000007,Bejucal de Ocampo
15.582928,-92.244765,7011,42000000-0000-0000-0000-000000000095,40000000-0000-0000-0000-000000000007,Bella Vista
16.800321,-93.273271,7012,42000000-0000-0000-0000-000000000096,40000000-0000-0000-0000-000000000007,Berriozabal
16.996383,-92.890219,7013,42000000-0000-0000-0000-000000000097,40000000-0000-0000-0000-000000000007,Bochil
17.06221,-92.721409,7014,42000000-0000-0000-0000-000000000098,40000000-0000-0000-0000-000000000007,El Bosque
14.989789,-92.16811,7015,42000000-0000-0000-0000-000000000099,40000000-0000-0000-0000-000000000007,Cacahoatan
17.728321,-92.016366,7016,42000000-0000-0000-0000-000000000100,40000000-0000-0000-0000-000000000007,Catazaja
16.698682,-93.720428,7017,42000000-0000-0000-0000-000000000101,40000000-0000-0000-0000-000000000007,Cintalapa de Figueroa
17.130791,-93.159022,7018,42000000-0000-0000-0000-000000000102,40000000-0000-0000-0000-000000000007,Coapilla
16.252461,-92.135835,7019,42000000-0000-0000-0000-000000000103,40000000-0000-0000-0000-000000000007,Comitan de Dominguez
16.116716,-92.687934,7020,42000000-0000-0000-0000-000000000104,40000000-0000-0000-0000-000000000007,La Concordia
17.093611,-93.210556,7021,42000000-0000-0000-0000-000000000105,40000000-0000-0000-0000-000000000007,Copainala
16.963405,-92.618395,7022,42000000-0000-0000-0000-000000000106,40000000-0000-0000-0000-000000000007,Chalchihuitan
16.7875,-92.689167,7023,42000000-0000-0000-0000-000000000107,40000000-0000-0000-0000-000000000007,Chamula
16.660062,-92.259942,7024,42000000-0000-0000-0000-000000000108,40000000-0000-0000-0000-000000000007,Chanal
17.340401,-93.130078,7025,42000000-0000-0000-0000-000000000109,40000000-0000-0000-0000-000000000007,Chapultenango
16.894277,-92.626148,7026,42000000-0000-0000-0000-000000000110,40000000-0000-0000-0000-000000000007,Chenalho
16.707958,-93.015959,7027,42000000-0000-0000-0000-000000000111,40000000-0000-0000-0000-000000000007,Chiapa de Corzo
16.570493,-92.720025,7028,42000000-0000-0000-0000-000000000112,40000000-0000-0000-0000-000000000007,Chiapilla
16.967255,-93.105235,7029,42000000-0000-0000-0000-000000000113,40000000-0000-0000-0000-000000000007,Chicoasen
15.744936,-92.283287,7030,42000000-0000-0000-0000-000000000114,40000000-0000-0000-0000-000000000007,Chicomuselo
17.105491,-92.271528,7031,42000000-0000-0000-0000-000000000115,40000000-0000-0000-0000-000000000007,Chilon
15.319269,-92.658558,7032,42000000-0000-0000-0000-000000000116,40000000-0000-0000-0000-000000000007,Escuintla
17.285925,-93.272891,7033,42000000-0000-0000-0000-000000000117,40000000-0000-0000-0000-000000000007,Francisco Leon
15.660164,-92.14105,7034,42000000-0000-0000-0000-000000000118,40000000-0000-0000-0000-000000000007,Frontera Comalapa
14.777838,-92.175983,7035,42000000-0000-0000-0000-000000000119,40000000-0000-0000-0000-000000000007,Frontera Hidalgo
15.51013,-92.22588,7036,42000000-0000-0000-0000-000000000120,40000000-0000-0000-0000-000000000007,La Grandeza
15.01852,-92.384181,7037,42000000-0000-0000-0000-000000000121,40000000-0000-0000-0000-000000000007,Huehuetan
16.712151,-92.454597,7038,42000000-0000-0000-0000-000000000122,40000000-0000-0000-0000-000000000007,Huixtan
17.173232,-92.685932,7039,42000000-0000-0000-0000-000000000123,40000000-0000-0000-0000-000000000007,Huitiupan
15.138028,-92.466011,7040,42000000-0000-0000-0000-000000000124,40000000-0000-0000-0000-000000000007,Huixtla
16.253935,-92.023452,7041,42000000-0000-0000-0000-000000000125,40000000-0000-0000-0000-000000000007,La Independencia
17.293271,-93.008382,7042,42000000-0000-0000-0000-000000000126,40000000-0000-0000-0000-000000000007,Ixhuatan
17.430751,-93.096559,7043,42000000-0000-0000-0000-000000000127,40000000-0000-0000-0000-000000000007,Ixtacomitan
16.803525,-92.905903,7044,42000000-0000-0000-0000-000000000128,40000000-0000-0000-0000-000000000007,Ixtapa
17.497539,-93.001666,7045,42000000-0000-0000-0000-000000000129,40000000-0000-0000-0000-000000000007,Ixtapangajoya
16.667721,-93.650475,7046,42000000-0000-0000-0000-000000000130,40000000-0000-0000-0000-000000000007,Jiquipilas
17.067968,-92.862336,7047,42000000-0000-0000-0000-000000000131,40000000-0000-0000-0000-000000000007,Jitotol
17.608151,-93.193331,7048,42000000-0000-0000-0000-000000000132,40000000-0000-0000-0000-000000000007,Juarez
16.884446,-92.713258,7049,42000000-0000-0000-0000-000000000133,40000000-0000-0000-0000-000000000007,Larrainzar
17.690136,-91.719062,7050,42000000-0000-0000-0000-000000000134,40000000-0000-0000-0000-000000000007,La Libertad
15.441134,-92.891606,7051,42000000-0000-0000-0000-000000000135,40000000-0000-0000-0000-000000000007,Mapastepec
16.315947,-91.981568,7052,42000000-0000-0000-0000-000000000136,40000000-0000-0000-0000-000000000007,Las Margaritas
15.387966,-92.187735,7053,42000000-0000-0000-0000-000000000137,40000000-0000-0000-0000-000000000007,Mazapa de Madero
14.863025,-92.449471,7054,42000000-0000-0000-0000-000000000138,40000000-0000-0000-0000-000000000007,Mazatan
14.837314,-92.190945,7055,42000000-0000-0000-0000-000000000139,40000000-0000-0000-0000-000000000007,Metapa
16.864471,-92.629651,7056,42000000-0000-0000-0000-000000000140,40000000-0000-0000-0000-000000000007,Mitontic
15.363167,-92.247744,7057,42000000-0000-0000-0000-000000000141,40000000-0000-0000-0000-000000000007,Motozintla
16.437073,-92.585347,7058,42000000-0000-0000-0000-000000000142,40000000-0000-0000-0000-000000000007,Nicolas Ruiz
16.908038,-92.095827,7059,42000000-0000-0000-0000-000000000143,40000000-0000-0000-0000-000000000007,Ocosingo
