scope,municipality_id,municipio_nombre,disease_key,disease_name,confirmation_status,case_count,started_at,ended_at,status,source_datasets,latest_update
MUNICIPALITY,42000000-0000-0000-0000-000000000534,Tlanchinol,COVID-19,COVID-19,SUSPECTED,2,2026-08-16 00:00:00,,ACTIVE,COVID19MEXICO,2026-08-24
MUNICIPALITY,42000000-0000-0000-0000-000000000534,Tlanchinol,INFLUENZA,Influenza,CONFIRMED,1,2026-08-02 00:00:00,,ACTIVE,COVID19MEXICO,2026-08-24
MUNICIPALITY,42000000-0000-0000-0000-000000000534,Tlanchinol,INFLUENZA,Influenza,SUSPECTED,2,2026-08-16 00:00:00,,ACTIVE,COVID19MEXICO,2026-08-24
MUNICIPALITY,42000000-0000-0000-0000-000000001768,Tlaola,COVID-19,COVID-19,CONFIRMED,1,2026-06-30 00:00:00,,ACTIVE,COVID19MEXICO,2026-08-24
MUNICIPALITY,42000000-0000-0000-0000-000000000442,Tlapa de Comonfort,COVID-19,COVID-19,SUSPECTED,3,2026-07-19 00:00:00,,ACTIVE,COVID19MEXICO,2026-08-24
MUNICIPALITY,42000000-0000-0000-0000-000000000442,Tlapa de Comonfort,INFLUENZA,Influenza,SUSPECTED,3,2026-07-19 00:00:00,,ACTIVE,COVID19MEXICO,2026-08-24
MUNICIPALITY,42000000-0000-0000-0000-000000001769,Tlapacoya,MEASLES,Measles,SUSPECTED,1,2026-08-18 00:00:00,,ACTIVE,EFES_ABIERTO,2026-08-18
MUNICIPALITY,42000000-0000-0000-0000-000000001769,Tlapacoya,RUBELLA,Rubella,SUSPECTED,1,2026-08-18 00:00:00,,ACTIVE,EFES_ABIERTO,2026-08-18
MUNICIPALITY,42000000-0000-0000-0000-000000002285,Tlapacoyan,COVID-19,COVID-19,SUSPECTED,5,2026-07-22 00:00:00,,ACTIVE,COVID19MEXICO,2026-08-24
MUNICIPALITY,42000000-0000-0000-0000-000000002285,Tlapacoyan,INFLUENZA,Influenza,SUSPECTED,5,2026-07-22 00:00:00,,ACTIVE,COVID19MEXICO,2026-08-24
MUNICIPALITY,42000000-0000-0000-0000-000000002285,Tlapacoyan,MEASLES,Measles,SUSPECTED,2,2026-08-18 00:00:00,,ACTIVE,EFES_ABIERTO,2026-08-18
MUNICIPALITY,42000000-0000-0000-0000-000000002285,Tlapacoyan,RUBELLA,Rubella,SUSPECTED,2,2026-08-18 00:00:00,,ACTIVE,EFES_ABIERTO,2026-08-18
MUNICIPALITY,42000000-0000-0000-0000-000000001770,Tlapanala,COVID-19,COVID-19,SUSPECTED,2,2026-07-07 00:00:00,,ACTIVE,COVID19MEXICO,2026-08-24
MUNICIPALITY,42000000-0000-0000-0000-000000001770,Tlapanala,INFLUENZA,Influenza,SUSPECTED,2,2026-07-07 00:00:00,,ACTIVE,COVID19MEXICO,2026-08-24
MUNICIPALITY,42000000-0000-0000-0000-000000000933,Tlaquiltenango,COVID-19,COVID-19,CONFIRMED,3,2026-07-03 00:00:00,,ACTIVE,COVID19MEXICO,2026-08-24
MUNICIPALITY,42000000-0000-0000-0000-000000000933,Tlaquiltenango,COVID-19,COVID-19,SUSPECTED,3,2026-07-05 00:00:00,,ACTIVE,COVID19MEXICO,2026-08-24
